family,family_name,converter_id,converter_name,public_label,display_order,speed_ratio,k_factor,torque_ratio,status,customer_visible
230,230,230-230-16b-031,230 16B 031,230 16B 031,1,0.0,253.09,2.336,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,2,0.1,257.17,2.193,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,3,0.2,260.89,1.985,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,4,0.3,264.04,1.882,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,5,0.4,272.83,1.713,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,6,0.5,276.36,1.548,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,7,0.6,284.2,1.407,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,8,0.7,293.52,1.246,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,9,0.8,307.0,1.094,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,10,0.85,325.75,1.014,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,11,0.9,358.14,0.933,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,12,0.92,392.66,0.91,published,true
230,230,230-230-16b-031,230 16B 031,230 16B 031,13,0.95,463.14,0.868,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,1,0.0,272.18,1.929,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,2,0.1,269.8,1.879,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,3,0.2,262.9,1.768,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,4,0.3,257.45,1.676,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,5,0.4,251.69,1.549,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,6,0.5,247.52,1.435,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,7,0.6,243.95,1.332,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,8,0.7,253.98,1.225,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,9,0.8,273.47,1.105,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,10,0.85,286.08,1.036,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,11,0.9,303.56,0.975,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,12,0.92,311.58,0.952,published,true
230,230,230-230-17b-gp,230 17B GP,230 17B GP,13,0.95,365.77,0.903,published,true
230,230,230-230-284c341,230 284C341,230 284C341,1,0.0,283.54,2.192,published,true
230,230,230-230-284c341,230 284C341,230 284C341,2,0.1,286.85,2.069,published,true
230,230,230-230-284c341,230 284C341,230 284C341,3,0.2,289.21,1.933,published,true
230,230,230-230-284c341,230 284C341,230 284C341,4,0.3,292.02,1.85,published,true
230,230,230-230-284c341,230 284C341,230 284C341,5,0.4,295.87,1.683,published,true
230,230,230-230-284c341,230 284C341,230 284C341,6,0.5,303.68,1.548,published,true
230,230,230-230-284c341,230 284C341,230 284C341,7,0.6,309.82,1.415,published,true
230,230,230-230-284c341,230 284C341,230 284C341,8,0.7,318.86,1.277,published,true
230,230,230-230-284c341,230 284C341,230 284C341,9,0.8,332.12,1.129,published,true
230,230,230-230-284c341,230 284C341,230 284C341,10,0.85,340.61,1.063,published,true
230,230,230-230-284c341,230 284C341,230 284C341,11,0.9,351.25,0.998,published,true
230,230,230-230-284c341,230 284C341,230 284C341,12,0.92,363.14,0.971,published,true
230,230,230-230-284c341,230 284C341,230 284C341,13,0.95,391.24,0.929,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,1,0.0,237.3,2.105,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,2,0.1,233.82,1.943,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,3,0.2,231.72,1.831,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,4,0.3,228.89,1.683,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,5,0.4,229.2,1.568,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,6,0.5,227.94,1.445,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,7,0.6,234.5,1.332,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,8,0.7,249.01,1.214,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,9,0.8,269.57,1.092,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,10,0.85,282.16,1.019,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,11,0.9,323.24,0.957,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,12,0.92,364.37,0.929,published,true
230,230,230-230-17b-a,230 17B A,230 17B A,13,0.95,441.09,0.887,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,1,0.0,305.96,1.893,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,2,0.1,297.55,1.828,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,3,0.2,285.75,1.717,published,true
